날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2024-03-26,4,5,3,4,5,4,5,4,4,4,7,6,5,7.0,3,5,5
2024-03-27,15,9,11,17,15,9,10,18,11,12,16,17,10,14.0,11,7,11
2024-03-28,16,8,16,20,8,11,9,22,18,21,16,15,7,17.0,9,5,14
2024-03-29,43,25,25,41,30,31,24,40,36,37,35,34,24,30.0,24,26,29
2024-03-30,22,26,24,24,30,26,23,24,17,26,25,28,26,25.0,25,30,23
2024-03-31,11,25,20,14,26,16,24,14,14,22,18,21,25,24.0,23,31,19
2024-04-01,13,23,13,15,17,16,23,14,14,18,18,21,17,18.0,18,18,18
2024-04-02,22,21,19,22,16,18,26,22,18,22,23,20,15,21.0,18,12,23
2024-04-03,21,8,10,31,4,7,10,22,15,10,14,8,4,15.0,6,11,8
2024-04-04,15,18,17,23,14,9,17,17,15,13,20,17,13,19.0,14,14,10
2024-04-05,21,16,16,22,21,15,14,20,16,17,20,19,18,18.0,17,18,16
2024-04-06,39,22,21,41,20,23,24,38,24,29,35,28,21,22.0,21,21,31
2024-04-07,32,30,21,38,24,32,33,33,28,35,34,29,24,26.0,24,25,39
2024-04-08,28,29,27,30,24,33,39,30,29,37,26,27,25,31.0,28,27,31
2024-04-09,18,15,16,22,23,22,16,20,12,22,32,36,21,19.0,17,20,22
2024-04-10,18,9,14,21,15,13,9,18,13,14,22,22,12,13.0,11,14,13
2024-04-11,21,14,18,21,15,20,15,22,22,22,22,21,14,20.0,16,16,19
2024-04-12,24,19,27,24,15,19,23,24,21,24,25,20,17,25.0,20,16,23
2024-04-13,18,15,22,20,19,19,19,21,19,23,22,20,18,23.0,17,16,19
2024-04-14,22,14,14,22,15,17,18,22,17,19,22,18,15,18.0,15,12,21
2024-04-15,11,12,11,13,6,10,14,12,11,11,14,10,9,15.0,12,9,10
2024-04-16,29,19,19,28,17,17,18,29,25,26,24,21,15,21.0,19,19,16
2024-04-17,42,47,44,27,37,38,49,35,42,45,36,39,30,52.0,39,35,33
2024-04-18,28,70,47,26,36,30,66,29,36,37,31,36,32,54.0,50,39,26
2024-04-19,30,58,37,28,19,19,54,30,26,23,25,23,23,36.0,42,30,22
2024-04-20,26,28,27,26,17,15,34,28,24,27,23,18,16,29.0,21,21,21
2024-04-21,7,6,9,6,4,6,8,7,10,10,7,7,6,14.0,6,10,7
2024-04-22,16,13,14,18,10,13,12,16,13,16,18,13,12,16.0,14,12,14
2024-04-23,10,12,9,16,16,11,10,13,9,11,15,15,14,12.0,13,12,12
2024-04-24,5,10,9,9,12,9,14,8,4,8,13,14,10,10.0,9,12,8
2024-04-25,19,13,16,22,8,11,18,23,12,14,14,12,8,15.0,11,11,11
2024-04-26,26,19,24,30,14,15,26,30,17,24,30,19,12,22.0,20,12,22
2024-04-27,23,27,26,21,12,14,33,25,19,25,20,17,14,26.0,24,13,18
2024-04-28,20,26,26,21,15,12,33,18,16,16,16,15,16,25.0,26,12,13
2024-04-29,20,17,16,22,13,18,18,20,15,18,22,18,10,20.0,15,6,17
2024-04-30,33,14,15,32,20,20,16,31,17,20,25,24,17,16.0,14,18,18
2024-05-01,14,11,10,16,15,12,11,16,10,12,17,15,12,13.0,10,16,12
2024-05-02,19,11,14,20,18,17,12,18,13,16,20,20,15,16.0,13,15,17
2024-05-03,25,13,18,21,19,21,18,23,16,22,23,22,19,19.0,16,19,24
2024-05-04,33,15,19,34,17,23,18,31,19,26,24,19,17,19.0,15,14,24
2024-05-05,14,11,9,14,4,11,14,15,16,14,11,6,5,14.0,9,5,12
2024-05-06,7,11,7,9,15,9,9,7,4,6,10,14,13,9.0,10,16,6
2024-05-07,13,19,10,13,22,15,13,12,6,14,15,19,20,12.0,18,35,13
2024-05-08,9,8,6,10,8,7,7,9,7,8,10,8,7,10.0,7,9,8
2024-05-09,14,14,12,13,11,12,16,15,12,13,12,10,10,13.0,12,11,13
2024-05-10,14,16,17,14,9,13,18,15,17,14,12,12,10,19.0,14,11,12
2024-05-11,8,12,9,9,7,10,10,9,9,10,9,9,8,13.0,9,8,8
2024-05-12,15,14,22,15,19,15,19,16,17,19,16,19,15,23.0,16,20,15
2024-05-13,13,18,13,15,11,13,17,14,12,15,14,13,13,16.0,14,13,13
2024-05-14,13,17,16,15,14,14,19,15,12,15,14,15,15,17.0,16,15,16
2024-05-15,8,18,14,9,12,10,22,10,10,14,11,11,11,17.0,15,12,12
2024-05-16,7,7,7,8,8,8,6,8,5,7,9,9,8,8.0,6,11,8
2024-05-17,19,14,15,18,11,15,15,19,15,17,15,13,11,18.0,12,10,15
2024-05-18,11,11,12,11,8,10,13,12,11,11,11,10,9,13.0,10,10,10
2024-05-19,11,16,13,13,10,11,17,12,10,13,13,13,12,15.0,13,12,13
2024-05-20,16,21,13,16,12,15,22,16,13,18,16,16,12,17.0,16,14,14
2024-05-21,27,17,18,35,21,18,13,25,11,19,22,22,18,16.0,19,17,17
2024-05-22,35,15,19,20,26,26,17,29,16,25,30,24,19,19.0,19,15,25
2024-05-23,18,28,23,17,23,29,35,19,16,28,26,24,21,25.0,25,18,26
2024-05-24,24,22,16,30,23,30,18,27,13,32,36,32,21,18.0,21,24,32
2024-05-25,19,7,7,26,19,9,7,18,8,9,22,25,12,8.0,9,14,12
2024-05-26,13,14,10,15,8,11,14,14,10,11,13,13,9,13.0,13,11,10
2024-05-27,10,8,6,11,7,7,7,10,7,11,11,13,7,10.0,6,10,7
2024-05-28,7,8,7,8,9,8,8,8,6,8,11,11,10,10.0,9,12,8
2024-05-29,12,11,11,10,12,9,14,11,9,10,10,11,11,12.0,11,12,9
2024-05-30,15,12,22,15,15,15,18,14,11,14,14,15,14,21.0,15,11,15
2024-05-31,13,16,12,13,10,10,19,13,11,13,12,12,10,18.0,14,9,11
2024-06-01,14,17,10,13,9,11,17,13,9,12,14,13,9,14.0,12,11,11
2024-06-02,10,16,10,12,12,12,14,11,7,12,13,15,12,11.0,12,12,10
2024-06-03,7,8,9,11,11,11,8,9,5,10,15,16,12,11.0,12,11,12
2024-06-04,8,9,7,10,14,8,8,9,7,8,16,17,12,10.0,9,13,10
2024-06-05,21,9,10,24,17,17,10,22,10,15,22,21,13,12.0,12,11,21
2024-06-06,28,11,12,27,17,20,14,24,12,16,18,21,12,14.0,12,12,19
2024-06-07,19,18,20,16,17,21,22,21,15,21,21,24,18,20.0,19,12,21
2024-06-08,16,12,8,18,8,15,15,17,17,20,16,12,9,13.0,11,7,15
2024-06-09,18,5,6,18,6,8,8,16,12,12,13,11,7,9.0,7,7,10
2024-06-10,28,21,17,27,17,22,27,25,21,24,22,22,16,20.0,21,15,21
2024-06-11,36,25,28,35,20,22,36,31,31,27,21,23,19,28.0,25,17,20
2024-06-12,16,22,22,17,18,15,35,16,18,18,15,19,16,26.0,22,16,14
2024-06-13,16,32,26,17,14,16,37,18,16,20,18,17,17,26.0,27,16,16
2024-06-14,20,27,26,21,20,21,36,20,19,22,18,19,20,28.0,25,20,19
2024-06-15,18,24,19,19,19,19,31,18,18,19,17,17,18,24.0,21,15,18
2024-06-16,13,16,12,13,9,11,21,13,11,14,12,14,11,16.0,13,16,11
2024-06-17,11,19,13,14,13,13,19,12,11,13,12,18,14,15.0,14,12,12
2024-06-18,14,20,16,14,12,14,25,14,16,15,13,16,12,18.0,17,11,12
2024-06-19,26,23,21,29,14,16,31,24,20,18,18,17,14,24.0,21,11,16
2024-06-20,28,15,17,26,12,14,20,26,20,18,18,16,11,21.0,15,6,17
2024-06-21,22,10,19,17,10,19,13,22,17,19,21,16,12,16.0,16,8,20
2024-06-22,21,5,10,20,5,14,9,19,17,16,14,9,6,,6,9,14
2024-06-23,9,10,7,10,5,8,20,8,6,9,8,10,6,12.0,9,8,8
2024-06-24,19,14,19,17,18,19,23,18,18,23,18,22,15,22.0,16,16,18
2024-06-25,8,21,15,8,11,9,20,9,11,12,9,12,13,19.0,18,21,8
2024-06-26,12,17,12,12,9,12,16,13,10,12,12,12,10,13.0,13,13,13
2024-06-27,17,20,21,18,13,17,26,17,13,16,16,16,13,21.0,17,7,16
2024-06-28,25,14,15,21,9,16,15,23,14,16,20,17,9,16.0,12,9,16
2024-06-29,20,7,7,20,4,14,11,19,16,18,16,11,6,12.0,7,7,14
2024-06-30,12,5,4,16,3,6,6,11,7,8,10,8,4,6.0,5,6,7
2024-07-01,16,12,10,15,6,13,16,15,12,16,13,9,6,13.0,10,5,12
2024-07-02,10,6,9,13,6,9,18,10,8,11,11,8,6,12.0,7,7,9
2024-07-03,16,7,7,18,9,11,10,14,10,11,14,12,8,11.0,8,8,10
2024-07-04,29,12,14,32,12,18,18,26,20,21,19,17,11,18.0,14,7,17
2024-07-05,11,8,7,12,6,5,12,11,10,9,8,8,8,10.0,9,11,6
2024-07-06,17,8,10,18,7,11,13,15,15,14,12,11,8,14.0,9,7,10
2024-07-07,13,8,14,14,11,12,13,12,10,9,9,16,10,14.0,11,8,7
2024-07-08,6,7,16,6,10,5,12,6,5,5,6,14,10,13.0,11,7,5
2024-07-09,9,12,4,10,11,4,13,8,7,4,5,7,10,7.0,13,8,4
2024-07-10,5,5,4,7,5,3,8,6,7,4,6,7,5,6.0,6,7,4
2024-07-11,25,12,14,24,8,12,20,23,13,14,15,12,9,16.0,11,11,12
2024-07-12,27,19,20,28,14,17,28,27,23,28,23,19,14,23.0,16,15,19
2024-07-13,38,14,22,40,16,16,25,34,25,29,25,20,15,23.0,15,10,21
2024-07-14,23,6,6,24,6,8,8,19,14,11,14,11,6,11.0,7,6,9
2024-07-15,6,8,8,10,8,4,10,6,8,5,5,8,7,12.0,7,9,4
2024-07-16,7,4,7,11,5,7,12,7,5,7,8,8,5,10.0,5,4,6
2024-07-17,4,6,6,6,3,4,9,4,4,4,4,5,5,9.0,6,4,3
2024-07-18,4,7,6,6,8,5,11,4,4,5,6,8,8,9.0,8,10,5
2024-07-19,16,9,8,15,4,5,13,12,8,7,7,5,5,11.0,9,10,5
2024-07-20,10,6,9,10,4,5,11,8,8,6,6,6,6,10.0,7,6,5
2024-07-21,9,4,5,10,4,6,7,8,7,7,7,7,5,8.0,5,4,5
2024-07-22,6,4,5,7,3,4,7,5,6,5,4,4,4,9.0,5,4,3
2024-07-23,5,4,4,7,3,3,7,4,4,3,4,4,4,7.0,4,4,3
2024-07-24,6,4,4,7,3,4,7,5,5,4,5,4,5,7.0,4,5,4
2024-07-25,9,7,7,11,4,5,12,7,5,5,6,7,6,10.0,8,6,5
2024-07-26,8,9,6,11,4,6,13,7,6,7,7,7,6,11.0,8,6,6
2024-07-27,8,7,5,11,5,5,8,6,5,5,6,5,6,7.0,7,9,5
2024-07-28,7,5,5,9,3,4,7,5,5,4,5,5,4,8.0,5,5,3
2024-07-29,8,6,4,9,3,3,7,7,5,5,5,4,4,7.0,6,5,3
2024-07-30,13,7,4,11,3,5,8,10,8,6,6,5,4,7.0,6,4,4
2024-07-31,8,9,5,8,3,4,14,7,8,5,5,5,4,8.0,7,4,4
2024-08-01,9,6,6,10,5,6,12,7,7,6,6,6,5,9.0,7,6,6
2024-08-02,17,9,10,18,12,12,16,13,10,11,14,14,11,12.0,11,10,12
2024-08-03,24,19,12,18,13,17,23,18,15,19,17,16,14,17.0,17,11,18
2024-08-04,22,17,15,19,10,14,22,18,14,17,16,12,14,19.0,17,10,13
2024-08-05,22,12,13,21,15,10,13,16,10,12,14,13,13,13.0,14,13,10
2024-08-06,10,11,7,13,10,8,11,8,5,7,9,11,11,10.0,12,11,7
2024-08-07,11,16,13,12,13,11,18,11,7,12,15,15,14,13.0,16,13,14
2024-08-08,14,20,12,13,10,12,18,11,11,14,11,12,12,15.0,19,11,12
2024-08-09,19,15,14,19,11,13,16,16,12,17,16,14,13,15.0,15,14,16
2024-08-10,24,10,13,25,14,17,12,20,10,17,19,17,17,14.0,16,12,20
2024-08-11,22,7,8,20,9,13,9,17,11,14,15,15,11,11.0,10,9,15
2024-08-12,19,7,9,16,14,15,9,17,11,16,15,17,14,11.0,11,10,18
2024-08-13,17,8,6,16,16,8,8,15,9,12,14,14,12,9.0,10,9,12
2024-08-14,17,6,7,21,12,7,7,14,9,10,14,15,10,9.0,9,10,9
2024-08-15,16,4,4,21,9,7,5,13,8,9,16,14,9,7.0,8,10,9
